"","scale","prl","lgl","plc"
"1",5,6,7,7
"2",5,5,8,7
"3",5,9,8,8
"5",5,8,8,9
"6",6,6,7,7
"7",7,7,7,9
"8",4,5,8,7
"9",5,6,7,9
"10",7,8,8,8
"11",5,7,7,8
"12",5,6,6,5
"13",7,8,9,7
"14",5,6,7,7
"15",3,7,6,6
"16",6,8,9,8
"17",1,0,1,1
"18",7,7,8,8
"19",3,6,7,8
"20",7,8,8,6
"21",6,6,5,8
"22",6,3,2,5
"23",3,7,7,8
"24",5,4,9,6
"25",7,6,7,7
"26",3,6,7,7
"27",3,7,8,8
"28",3,6,8,8
"29",6,0,2,4
"30",3,6,6,8
"31",3,7,8,8
"33",6,7,9,8
"34",6,7,7,6
"36",9,3,7,7
"37",6,5,5,7
"38",0,5,5,5
"39",8,3,3,4
"40",5,7,9,8
"41",7,7,4,4
"42",7,6,7,8
"43",8,5,6,5
"44",5,4,6,7
"45",8,7,8,8
"46",3,8,8,8
"47",7,6,6,6
"48",2,2,3,2
"49",1,4,6,6
"50",5,6,10,8
"51",5,7,9,9
"52",3,7,8,6
"53",3,5,6,7
"54",5,7,9,9
"55",5,8,7,8
"56",5,7,8,7
"57",7,6,5,7
"58",7,7,7,7
"59",5,8,9,8
"60",5,6,6,7
"61",5,6,7,7
"62",5,6,6,6
"63",4,7,7,7
"64",5,6,8,8
"65",7,5,7,8
"66",5,5,8,5
"67",6,7,7,7
"68",5,7,10,8
"69",7,7,8,7
"70",3,7,9,8
"71",7,5,7,8
"72",2,7,8,6
"73",5,7,7,8
"74",7,7,8,8
"75",4,7,7,8
"76",7,7,8,8
"77",4,7,8,8
"78",4,7,7,7
"79",4,7,9,7
"80",3,6,7,7
"81",4,4,3,4
"82",5,7,8,6
"84",5,7,8,7
"85",4,7,6,8
"86",6,5,4,6
"87",3,7,9,9
"88",7,6,7,7
"89",8,4,8,8
"90",8,9,9,10
"91",5,5,7,6
"92",6,6,8,10
"93",5,6,7,7
"94",7,7,8,9
"95",6,7,9,9
"96",5,7,7,6
"97",5,7,9,9
"98",4,5,4,7
"99",8,3,3,7
"101",5,8,8,7
"102",6,7,8,9
"103",7,6,7,7
"104",8,6,5,5
"105",3,7,9,8
"106",6,6,8,8
"107",2,6,7,7
"108",7,6,7,4
"109",2,7,9,7
"110",2,7,8,8
"112",5,5,6,7
"113",5,5,6,8
"115",7,7,8,8
"116",5,6,6,7
"117",3,7,8,7
"118",5,7,7,8
"119",8,5,5,8
"120",3,7,8,8
"121",5,6,6,7
"122",5,6,6,6
"123",7,8,9,10
"124",5,6,5,7
"127",6,7,8,8
"128",8,8,7,8
"129",7,6,5,6
"130",5,3,3,7
"131",5,4,6,6
"132",7,5,5,7
"133",10,10,10,10
"134",10,5,6,8
"135",8,7,8,8
"136",7,7,8,8
"137",5,7,6,7
"138",8,7,8,6
"139",4,7,8,8
"140",2,6,7,7
"141",4,7,7,8
"142",5,7,8,6
"143",2,8,7,7
"144",9,4,7,8
"145",5,7,7,7
"146",2,7,7,7
"147",6,4,7,4
"148",6,6,9,7
"149",8,10,5,7
"150",5,9,6,3
"151",4,3,7,7
"152",6,6,5,4
"153",6,5,5,6
"154",5,7,8,8
"155",7,6,4,8
"156",7,7,8,7
"157",8,4,4,5
"158",4,7,9,8
"159",6,7,9,9
"160",7,4,4,7
"161",6,6,8,7
"162",5,4,6,3
"163",7,0,2,5
"164",10,8,9,9
"165",5,7,8,8
"166",5,2,2,2
"167",2,7,8,8
"168",3,5,7,8
"169",5,8,8,8
"170",7,7,5,6
"171",6,2,2,6
"173",5,5,6,5
"174",7,7,8,9
"175",8,4,6,0
"176",5,7,8,8
"178",7,7,8,8
"179",5,7,7,7
"180",4,7,7,8
"181",5,6,8,8
"182",8,7,9,8
"185",5,8,7,8
"186",6,7,8,8
"187",5,6,7,9
"188",5,5,6,7
"189",2,6,8,6
"190",3,7,8,8
"191",9,3,7,7
"192",6,7,8,8
"193",2,8,6,5
"194",5,7,7,8
"197",8,4,3,5
"198",3,6,9,8
"199",7,0,8,6
"200",8,6,8,9
"201",3,6,8,7
"202",5,8,8,7
"203",8,6,7,7
"204",8,6,7,5
"205",5,6,7,7
"206",7,7,7,8
"207",7,7,8,8
"208",7,9,10,9
"209",4,6,8,7
"210",2,3,9,9
"211",8,4,1,2
"212",4,8,8,9
"213",4,5,7,7
"214",7,5,4,8
"215",1,5,7,7
"216",2,6,8,8
"217",5,7,8,7
"218",4,5,7,6
"220",3,2,6,6
"221",8,6,8,8
"222",0,7,8,6
"223",5,7,8,8
"224",4,7,5,6
"225",1,8,9,8
"226",2,6,8,6
"228",3,5,5,0
"229",8,8,9,7
"230",0,5,5,5
"231",8,5,8,8
"232",5,8,6,5
"233",2,4,7,7
"234",0,7,5,8
"235",6,1,1,6
"236",3,8,8,8
"237",7,7,7,8
"238",8,8,8,7
"239",0,3,6,7
"240",3,6,6,6
"241",6,7,7,8
"242",7,7,7,8
"243",6,4,8,6
"244",7,7,8,8
"245",10,4,4,5
"246",7,2,5,7
"247",2,7,3,8
"248",5,5,5,5
"249",7,7,6,5
"250",8,7,7,7
"251",2,9,10,10
"252",5,6,9,8
"253",5,8,10,9
"254",4,8,9,8
"255",2,6,8,6
"257",3,7,8,7
"258",5,7,7,8
"259",1,7,8,8
"260",5,6,7,6
"261",6,4,7,8
"262",8,1,1,3
"263",3,8,8,8
"264",6,7,7,8
"265",7,5,5,7
"266",4,8,8,8
"267",6,7,8,8
"268",10,5,6,9
"269",5,5,7,7
"270",4,7,7,5
"271",5,4,6,6
"272",8,7,8,8
"273",5,5,6,7
"274",5,7,5,9
"275",2,6,7,8
"276",5,5,7,9
"277",7,7,9,9
"278",6,4,3,5
"279",7,4,8,7
"280",5,8,7,8
"281",2,5,4,3
"283",5,6,7,8
"285",7,8,8,10
"286",5,8,8,9
"287",2,7,10,8
"288",6,3,1,6
"289",8,7,7,7
"290",8,7,9,9
"291",6,7,7,7
"292",4,5,7,8
"293",3,5,5,8
"294",4,7,7,8
"295",5,1,5,7
"296",4,7,9,4
"297",3,7,8,8
"298",4,3,3,4
"299",5,4,4,4
"300",8,8,7,7
"301",3,6,10,3
"302",5,6,9,9
"303",2,7,8,8
"305",8,5,7,6
"306",0,6,7,7
"307",4,7,6,7
"308",5,8,7,8
"309",8,7,7,6
"310",5,5,6,6
"311",5,6,7,8
"312",8,8,8,8
"313",4,5,6,7
"314",7,5,5,6
"315",5,0,8,9
"316",6,6,8,8
"317",5,7,7,9
"318",4,4,4,4
"319",2,6,6,6
"320",7,3,3,1
"322",3,6,6,6
"323",3,9,8,8
"324",5,5,2,6
"325",7,8,10,8
"326",5,6,6,8
"327",1,3,4,4
"328",6,3,1,6
"329",2,8,7,9
"330",5,6,7,7
"332",6,4,8,7
"333",5,7,8,5
"335",2,6,7,8
"336",3,7,6,6
"337",7,7,6,8
"338",5,8,8,6
"339",7,7,7,7
"340",0,2,3,4
"341",3,6,8,9
"342",5,8,8,7
"343",4,3,8,4
"344",7,8,8,7
"345",7,5,6,7
"346",3,8,8,8
"347",6,4,7,8
"348",5,4,5,6
"349",5,5,7,7
"350",7,5,6,6
"351",1,9,10,10
"352",4,8,9,9
"353",4,7,6,7
"354",2,7,8,8
"355",5,3,4,7
"356",7,4,5,5
"357",7,6,8,6
"358",5,4,7,7
"359",5,5,5,9
"360",5,4,2,6
"362",5,6,7,7
"363",7,6,7,8
"364",7,5,6,7
"365",6,7,8,8
"366",7,8,9,9
"367",7,6,6,7
"368",5,5,6,5
"369",5,1,5,7
"370",6,4,5,5
"372",3,6,3,8
"373",6,7,7,8
"375",7,1,1,4
"376",8,9,10,10
"377",5,3,7,9
"378",7,8,8,6
"379",7,8,9,8
"380",6,6,7,7
"381",3,4,7,8
"382",6,6,8,7
"383",6,4,0,7
"384",5,4,4,7
"385",3,7,9,9
"386",2,5,8,9
"387",5,3,4,4
"388",4,5,6,4
"389",5,6,6,8
"390",8,7,8,8
"391",5,7,5,5
"392",8,6,4,7
"393",6,2,3,5
"394",2,6,6,8
"395",7,6,5,4
"396",7,6,6,8
"397",5,6,4,5
"398",2,6,8,8
"399",6,7,5,8
"400",6,6,6,6
"402",2,6,8,9
"403",7,5,1,3
"404",4,9,9,9
"405",8,8,9,8
"406",4,7,7,7
"407",2,7,8,8
"408",5,2,4,6
"409",8,6,4,8
"411",4,5,7,7
"412",3,8,7,7
"414",4,7,7,8
"415",5,7,7,7
"416",5,3,4,5
"417",7,8,10,9
"418",3,0,5,3
"419",7,7,8,8
"420",7,6,8,6
"423",5,3,4,3
"424",5,8,5,8
"425",2,7,7,6
"426",4,7,7,6
"427",3,5,7,6
"428",8,8,8,6
"430",5,8,4,6
"431",5,5,7,7
"432",7,6,6,7
"434",5,3,3,3
"435",5,5,2,7
"436",8,1,1,7
"437",3,4,6,4
"438",7,8,8,8
"439",6,7,8,9
"440",6,8,7,7
"441",8,6,8,6
"442",6,7,8,8
"443",4,7,6,5
"444",3,7,9,7
"445",5,6,7,6
"446",7,5,6,6
"447",5,6,6,4
"448",8,8,8,8
"449",5,7,6,6
"450",5,5,5,5
"451",4,8,9,8
"452",5,6,7,7
"453",5,6,5,7
"454",10,4,3,5
"455",6,9,7,7
"456",5,5,7,7
"459",4,3,3,5
"460",8,4,6,7
"461",5,7,8,8
"462",5,6,5,6
"463",5,1,2,1
"464",5,7,6,8
"465",6,3,4,6
"466",3,7,7,8
"467",3,6,6,8
"468",7,6,6,8
"469",5,8,8,9
"470",3,7,8,8
"471",2,4,3,5
"472",3,7,9,8
"473",5,8,8,8
"474",2,5,1,4
"475",4,7,7,7
"476",4,6,6,7
"477",2,5,7,7
"479",4,7,7,8
"480",2,6,7,7
"481",4,8,8,8
"482",7,7,8,8
"483",4,7,7,6
"484",5,8,8,8
"485",4,7,8,8
"486",4,7,8,8
"487",5,0,1,6
"488",3,7,9,9
"489",8,6,8,8
"490",5,6,7,8
"491",3,5,8,8
"492",5,6,10,6
"494",8,5,8,8
"495",3,6,9,8
"496",5,4,4,6
"497",8,7,5,8
"498",5,5,5,8
"499",6,7,5,8
"500",7,7,8,7
"501",6,7,7,5
"502",5,7,7,8
"503",3,7,8,8
"504",5,7,7,8
"505",6,7,7,6
"506",5,6,4,9
"508",7,5,7,7
"509",3,5,7,4
"510",4,9,9,9
"511",3,7,7,7
"512",8,9,8,8
"514",6,6,4,9
"515",4,4,7,7
"517",8,8,8,9
"518",5,5,5,7
"519",5,3,3,5
"520",7,6,8,5
"522",3,6,8,9
"523",8,8,8,9
"524",5,7,7,7
"525",8,6,7,8
"526",5,7,6,7
"527",5,7,9,8
"528",3,7,7,7
"529",5,8,10,9
"530",4,6,5,4
"531",2,8,8,9
"532",4,7,8,7
"533",5,6,6,6
"534",7,6,7,7
"535",8,8,8,8
"536",7,6,6,6
"537",7,6,7,7
"538",4,5,7,7
"539",7,5,6,7
"540",9,3,3,7
"541",5,7,7,8
"542",6,5,5,6
"544",4,6,6,7
"545",5,6,7,7
"546",5,6,4,7
"547",5,5,8,8
"548",3,7,8,8
"549",6,7,7,7
"550",4,7,6,9
"551",7,8,9,8
"552",7,8,8,8
"553",4,7,8,8
"554",4,4,6,5
"555",4,7,7,8
"556",6,7,8,8
"557",1,3,6,8
"558",4,8,8,7
"559",8,3,5,8
"560",2,8,8,8
"561",5,4,7,8
"562",5,6,6,7
"563",4,6,8,8
"564",1,7,8,8
"565",7,6,6,6
"566",7,3,3,6
"567",3,8,7,5
"568",5,3,3,8
"569",5,3,4,6
"570",5,4,6,5
"571",5,1,2,5
"572",2,7,8,8
"574",3,8,7,7
"575",3,7,8,9
"576",7,5,8,8
"577",4,4,7,6
"578",5,6,6,7
"579",3,6,4,4
"580",6,6,6,7
"581",5,6,7,7
"583",7,6,9,9
"584",4,9,9,8
"585",4,4,7,7
"587",6,5,5,7
"589",5,0,4,4
"590",5,7,6,7
"591",3,6,6,7
"592",5,8,8,8
"593",3,7,7,7
"594",6,7,7,5
"595",6,9,9,6
"596",5,5,3,7
"598",4,8,9,8
"599",7,7,8,8
"600",4,5,8,8
"601",7,8,8,7
"603",2,7,7,6
"604",5,8,8,5
"605",5,6,7,8
"606",7,4,8,6
"607",5,8,9,9
"608",7,5,6,7
"609",7,7,8,7
"610",5,5,6,6
"611",7,8,5,9
"612",7,7,8,8
"613",8,8,7,8
"614",7,4,6,7
"615",6,7,8,8
"616",6,8,7,6
"617",6,5,5,8
"618",9,7,4,5
"619",6,5,8,7
"620",5,7,7,7
"621",4,6,7,7
"622",2,6,9,9
"623",4,3,7,4
"624",4,6,7,8
"625",6,8,8,7
"626",5,6,6,6
"627",5,6,6,6
"628",6,5,7,7
"629",6,6,5,7
"630",6,6,4,4
"631",3,6,8,8
"634",5,4,7,7
"635",5,8,8,10
"636",5,5,5,7
"637",2,7,8,8
"638",7,7,8,8
"639",8,4,4,7
"640",8,7,8,8
"641",3,7,8,8
"642",4,6,8,8
"644",4,7,7,8
"647",4,7,9,6
"648",7,9,10,10
"649",6,5,7,7
"650",6,3,7,7
"651",5,0,4,9
"652",5,0,5,5
"653",8,7,3,8
"654",2,7,7,6
"655",5,6,7,7
"656",5,3,4,7
"657",5,7,7,7
"659",8,6,6,5
"660",5,5,6,6
"661",5,10,10,10
"662",3,5,5,7
"663",4,6,7,8
"664",7,7,8,8
"665",5,2,1,0
"666",5,7,6,5
"667",3,8,8,9
"668",6,7,9,9
"670",5,3,7,7
"671",7,4,4,5
"672",4,6,7,8
"673",2,7,8,8
"674",6,6,5,6
"675",5,5,4,6
"676",3,4,6,5
"677",6,8,8,7
"678",2,8,9,8
"679",6,7,8,8
"680",5,8,8,9
"681",6,7,8,8
"682",0,5,8,1
"683",7,5,7,7
"684",4,7,8,8
"685",4,8,9,9
"686",3,6,6,7
"687",5,7,7,8
"688",3,4,4,4
"689",7,8,8,9
"690",6,4,6,8
"691",5,3,4,6
"692",6,3,6,3
"693",8,4,2,6
"695",2,7,7,6
"696",8,5,5,6
"697",2,8,7,7
"698",5,3,4,7
"699",5,3,3,5
"700",5,5,5,8
"701",6,5,5,5
"702",7,6,7,7
"703",2,7,9,10
"704",5,6,6,8
"705",7,4,4,5
"706",9,8,8,8
"707",5,3,5,8
"708",2,8,9,8
"709",5,6,7,7
"710",5,6,6,7
"711",5,3,3,5
"713",4,3,5,7
"714",7,6,8,7
"715",7,6,7,7
"716",3,7,7,6
"717",5,6,7,7
"718",3,7,7,6
"719",7,10,8,8
"720",8,7,6,8
"721",4,8,8,7
"723",6,6,6,6
"724",0,5,7,7
"725",8,7,8,7
"726",3,9,9,9
"727",5,6,4,7
"728",7,6,6,7
"729",5,8,7,10
"731",6,7,4,6
"732",10,4,4,4
"733",5,6,7,8
"734",2,6,7,7
"737",5,4,6,7
"740",5,8,8,9
"741",2,7,7,7
"742",4,4,7,7
"743",5,8,6,8
"745",4,4,7,7
"746",6,6,6,5
"747",2,4,7,4
"748",5,8,9,8
"749",6,7,8,8
"750",8,6,9,9
"751",4,6,7,7
"752",5,7,7,8
"754",6,5,7,7
"756",0,5,5,8
"757",5,8,7,5
"758",6,5,6,6
"759",7,6,8,4
"760",0,4,4,5
"761",3,6,6,7
"762",6,3,5,5
"763",9,7,3,4
"764",2,6,7,6
"765",8,0,1,3
"766",7,7,8,7
"767",5,9,10,9
"768",6,7,7,7
"769",5,5,5,8
"770",0,1,5,7
"771",8,7,5,7
"772",8,9,6,7
"773",3,6,7,7
"774",7,7,6,8
"776",2,6,8,6
"777",6,4,6,4
"778",8,7,7,8
"779",4,6,8,8
"780",5,3,4,6
"781",6,6,7,8
"782",2,9,7,10
"783",5,6,5,7
"784",4,3,8,5
"787",5,5,7,7
"788",2,7,9,9
"789",4,7,8,7
"790",2,4,4,4
"791",8,7,6,9
"792",10,5,8,8
"793",5,8,7,9
"794",5,5,5,8
"795",6,7,7,7
"796",5,6,7,7
"797",7,3,6,2
"798",5,3,3,5
"799",5,4,5,7
"800",3,4,7,6
"801",5,6,6,7
"802",7,7,8,8
"803",6,4,7,6
"804",3,8,8,8
"805",5,7,8,7
"807",3,5,7,8
"809",4,8,7,9
"810",3,8,7,8
"811",1,8,9,7
"812",2,7,5,5
"813",0,5,5,7
"814",7,7,8,8
"815",5,5,5,4
"816",3,7,8,8
"817",5,5,5,7
"818",4,5,4,2
"819",0,7,9,7
"820",8,7,7,7
"821",10,7,7,7
"822",8,7,8,7
"823",6,6,6,8
"824",5,8,9,9
"825",1,4,5,5
"826",7,7,9,9
"828",5,5,7,7
"830",5,7,7,6
"831",4,7,5,8
"832",4,4,6,7
"833",3,7,8,7
"834",4,2,4,5
"835",8,7,7,8
"836",1,2,9,9
"837",10,6,8,8
"839",6,7,7,8
"840",3,5,7,7
"842",3,7,7,7
"844",3,7,7,6
"845",6,6,4,6
"846",7,7,8,7
"847",7,7,7,8
"848",7,8,10,5
"849",6,7,8,9
"851",7,6,6,7
"852",6,6,6,6
"854",8,5,7,7
"856",10,3,4,8
"857",5,8,9,8
"858",5,7,6,8
"859",4,5,7,7
"860",6,6,7,7
"861",8,5,9,8
"862",3,8,8,8
"864",5,2,7,6
"865",5,8,8,7
"866",3,7,9,7
"867",1,6,5,7
